"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Adams County, CO","08001","Under 15 years","15",Suppressed
,"Adams County, CO","08001","15-19 years","15-19",383
,"Adams County, CO","08001","20-24 years","20-24",1372
,"Adams County, CO","08001","25-29 years","25-29",2000
,"Adams County, CO","08001","30-34 years","30-34",1882
,"Adams County, CO","08001","35-39 years","35-39",848
,"Adams County, CO","08001","40-44 years","40-44",169
,"Adams County, CO","08001","45-49 years","45-49",12
,"Adams County, CO","08001","50 years and over","50+",0
,"Arapahoe County, CO","08005","Under 15 years","15",Suppressed
,"Arapahoe County, CO","08005","15-19 years","15-19",312
,"Arapahoe County, CO","08005","20-24 years","20-24",1265
,"Arapahoe County, CO","08005","25-29 years","25-29",2229
,"Arapahoe County, CO","08005","30-34 years","30-34",2470
,"Arapahoe County, CO","08005","35-39 years","35-39",1338
,"Arapahoe County, CO","08005","40-44 years","40-44",273
,"Arapahoe County, CO","08005","45-49 years","45-49",17
,"Arapahoe County, CO","08005","50 years and over","50+",0
,"Boulder County, CO","08013","Under 15 years","15",0
,"Boulder County, CO","08013","15-19 years","15-19",87
,"Boulder County, CO","08013","20-24 years","20-24",297
,"Boulder County, CO","08013","25-29 years","25-29",582
,"Boulder County, CO","08013","30-34 years","30-34",928
,"Boulder County, CO","08013","35-39 years","35-39",699
,"Boulder County, CO","08013","40-44 years","40-44",126
,"Boulder County, CO","08013","45-49 years","45-49",Suppressed
,"Boulder County, CO","08013","50 years and over","50+",Suppressed
,"Denver County, CO","08031","Under 15 years","15",Suppressed
,"Denver County, CO","08031","15-19 years","15-19",469
,"Denver County, CO","08031","20-24 years","20-24",1544
,"Denver County, CO","08031","25-29 years","25-29",2402
,"Denver County, CO","08031","30-34 years","30-34",3307
,"Denver County, CO","08031","35-39 years","35-39",1869
,"Denver County, CO","08031","40-44 years","40-44",382
,"Denver County, CO","08031","45-49 years","45-49",21
,"Denver County, CO","08031","50 years and over","50+",Suppressed
,"Douglas County, CO","08035","Under 15 years","15",0
,"Douglas County, CO","08035","15-19 years","15-19",42
,"Douglas County, CO","08035","20-24 years","20-24",233
,"Douglas County, CO","08035","25-29 years","25-29",898
,"Douglas County, CO","08035","30-34 years","30-34",1476
,"Douglas County, CO","08035","35-39 years","35-39",694
,"Douglas County, CO","08035","40-44 years","40-44",134
,"Douglas County, CO","08035","45-49 years","45-49",10
,"Douglas County, CO","08035","50 years and over","50+",Suppressed
,"El Paso County, CO","08041","Under 15 years","15",Suppressed
,"El Paso County, CO","08041","15-19 years","15-19",487
,"El Paso County, CO","08041","20-24 years","20-24",2226
,"El Paso County, CO","08041","25-29 years","25-29",2985
,"El Paso County, CO","08041","30-34 years","30-34",2488
,"El Paso County, CO","08041","35-39 years","35-39",1080
,"El Paso County, CO","08041","40-44 years","40-44",208
,"El Paso County, CO","08041","45-49 years","45-49",15
,"El Paso County, CO","08041","50 years and over","50+",0
,"Jefferson County, CO","08059","Under 15 years","15",Suppressed
,"Jefferson County, CO","08059","15-19 years","15-19",172
,"Jefferson County, CO","08059","20-24 years","20-24",740
,"Jefferson County, CO","08059","25-29 years","25-29",1608
,"Jefferson County, CO","08059","30-34 years","30-34",2190
,"Jefferson County, CO","08059","35-39 years","35-39",1149
,"Jefferson County, CO","08059","40-44 years","40-44",231
,"Jefferson County, CO","08059","45-49 years","45-49",Suppressed
,"Jefferson County, CO","08059","50 years and over","50+",Suppressed
,"Larimer County, CO","08069","Under 15 years","15",Suppressed
,"Larimer County, CO","08069","15-19 years","15-19",91
,"Larimer County, CO","08069","20-24 years","20-24",486
,"Larimer County, CO","08069","25-29 years","25-29",917
,"Larimer County, CO","08069","30-34 years","30-34",1164
,"Larimer County, CO","08069","35-39 years","35-39",609
,"Larimer County, CO","08069","40-44 years","40-44",96
,"Larimer County, CO","08069","45-49 years","45-49",11
,"Larimer County, CO","08069","50 years and over","50+",0
,"Mesa County, CO","08077","Under 15 years","15",Suppressed
,"Mesa County, CO","08077","15-19 years","15-19",112
,"Mesa County, CO","08077","20-24 years","20-24",438
,"Mesa County, CO","08077","25-29 years","25-29",581
,"Mesa County, CO","08077","30-34 years","30-34",450
,"Mesa County, CO","08077","35-39 years","35-39",159
,"Mesa County, CO","08077","40-44 years","40-44",28
,"Mesa County, CO","08077","45-49 years","45-49",Suppressed
,"Mesa County, CO","08077","50 years and over","50+",0
,"Pueblo County, CO","08101","Under 15 years","15",Suppressed
,"Pueblo County, CO","08101","15-19 years","15-19",161
,"Pueblo County, CO","08101","20-24 years","20-24",478
,"Pueblo County, CO","08101","25-29 years","25-29",614
,"Pueblo County, CO","08101","30-34 years","30-34",424
,"Pueblo County, CO","08101","35-39 years","35-39",165
,"Pueblo County, CO","08101","40-44 years","40-44",37
,"Pueblo County, CO","08101","45-49 years","45-49",Suppressed
,"Pueblo County, CO","08101","50 years and over","50+",0
,"Weld County, CO","08123","Under 15 years","15",Suppressed
,"Weld County, CO","08123","15-19 years","15-19",266
,"Weld County, CO","08123","20-24 years","20-24",870
,"Weld County, CO","08123","25-29 years","25-29",1394
,"Weld County, CO","08123","30-34 years","30-34",1206
,"Weld County, CO","08123","35-39 years","35-39",461
,"Weld County, CO","08123","40-44 years","40-44",102
,"Weld County, CO","08123","45-49 years","45-49",Suppressed
,"Weld County, CO","08123","50 years and over","50+",0
,"Unidentified Counties, CO","08999","Under 15 years","15",Suppressed
,"Unidentified Counties, CO","08999","15-19 years","15-19",486
,"Unidentified Counties, CO","08999","20-24 years","20-24",1896
,"Unidentified Counties, CO","08999","25-29 years","25-29",2512
,"Unidentified Counties, CO","08999","30-34 years","30-34",2414
,"Unidentified Counties, CO","08999","35-39 years","35-39",1282
,"Unidentified Counties, CO","08999","40-44 years","40-44",267
,"Unidentified Counties, CO","08999","45-49 years","45-49",18
,"Unidentified Counties, CO","08999","50 years and over","50+",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Colorado (08)"
"Year: 2016"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 17, 2026 1:47:20 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 17, 2026 1:47:20 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
