"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Fairfield County, CT","09001","American Indian or Alaska Native","1002-5",53
,"Fairfield County, CT","09001","Asian","A",613
,"Fairfield County, CT","09001","Black or African American","2054-5",1343
,"Fairfield County, CT","09001","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Fairfield County, CT","09001","White","2106-3",7262
,"Fairfield County, CT","09001","More than one race","M",157
,"Fairfield County, CT","09001","Unknown or Not Stated","UNK",0
,"Fairfield County, CT","09001","Not Available","NA",0
,"Fairfield County, CT","09001","Not Reported","NR",0
,"Hartford County, CT","09003","American Indian or Alaska Native","1002-5",31
,"Hartford County, CT","09003","Asian","A",757
,"Hartford County, CT","09003","Black or African American","2054-5",1661
,"Hartford County, CT","09003","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Hartford County, CT","09003","White","2106-3",6031
,"Hartford County, CT","09003","More than one race","M",210
,"Hartford County, CT","09003","Unknown or Not Stated","UNK",0
,"Hartford County, CT","09003","Not Available","NA",0
,"Hartford County, CT","09003","Not Reported","NR",0
,"Litchfield County, CT","09005","American Indian or Alaska Native","1002-5",14
,"Litchfield County, CT","09005","Asian","A",27
,"Litchfield County, CT","09005","Black or African American","2054-5",57
,"Litchfield County, CT","09005","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Litchfield County, CT","09005","White","2106-3",1221
,"Litchfield County, CT","09005","More than one race","M",21
,"Litchfield County, CT","09005","Unknown or Not Stated","UNK",0
,"Litchfield County, CT","09005","Not Available","NA",0
,"Litchfield County, CT","09005","Not Reported","NR",0
,"Middlesex County, CT","09007","American Indian or Alaska Native","1002-5",Suppressed
,"Middlesex County, CT","09007","Asian","A",51
,"Middlesex County, CT","09007","Black or African American","2054-5",92
,"Middlesex County, CT","09007","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Middlesex County, CT","09007","White","2106-3",1055
,"Middlesex County, CT","09007","More than one race","M",41
,"Middlesex County, CT","09007","Unknown or Not Stated","UNK",0
,"Middlesex County, CT","09007","Not Available","NA",0
,"Middlesex County, CT","09007","Not Reported","NR",0
,"New Haven County, CT","09009","American Indian or Alaska Native","1002-5",132
,"New Haven County, CT","09009","Asian","A",390
,"New Haven County, CT","09009","Black or African American","2054-5",1590
,"New Haven County, CT","09009","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"New Haven County, CT","09009","White","2106-3",5832
,"New Haven County, CT","09009","More than one race","M",280
,"New Haven County, CT","09009","Unknown or Not Stated","UNK",0
,"New Haven County, CT","09009","Not Available","NA",0
,"New Haven County, CT","09009","Not Reported","NR",0
,"New London County, CT","09011","American Indian or Alaska Native","1002-5",31
,"New London County, CT","09011","Asian","A",79
,"New London County, CT","09011","Black or African American","2054-5",238
,"New London County, CT","09011","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"New London County, CT","09011","White","2106-3",1914
,"New London County, CT","09011","More than one race","M",114
,"New London County, CT","09011","Unknown or Not Stated","UNK",0
,"New London County, CT","09011","Not Available","NA",0
,"New London County, CT","09011","Not Reported","NR",0
,"Tolland County, CT","09013","American Indian or Alaska Native","1002-5",0
,"Tolland County, CT","09013","Asian","A",93
,"Tolland County, CT","09013","Black or African American","2054-5",58
,"Tolland County, CT","09013","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Tolland County, CT","09013","White","2106-3",982
,"Tolland County, CT","09013","More than one race","M",20
,"Tolland County, CT","09013","Unknown or Not Stated","UNK",0
