"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Atlantic County, NJ","34001","American Indian or Alaska Native","1002-5",Suppressed
,"Atlantic County, NJ","34001","Asian","A",215
,"Atlantic County, NJ","34001","Black or African American","2054-5",620
,"Atlantic County, NJ","34001","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Atlantic County, NJ","34001","White","2106-3",1907
,"Atlantic County, NJ","34001","More than one race","M",77
,"Atlantic County, NJ","34001","Unknown or Not Stated","UNK",0
,"Atlantic County, NJ","34001","Not Available","NA",0
,"Atlantic County, NJ","34001","Not Reported","NR",0
,"Bergen County, NJ","34003","American Indian or Alaska Native","1002-5",24
,"Bergen County, NJ","34003","Asian","A",1608
,"Bergen County, NJ","34003","Black or African American","2054-5",761
,"Bergen County, NJ","34003","Native Hawaiian or Other Pacific Islander","NHOPI",15
,"Bergen County, NJ","34003","White","2106-3",6115
,"Bergen County, NJ","34003","More than one race","M",130
,"Bergen County, NJ","34003","Unknown or Not Stated","UNK",0
,"Bergen County, NJ","34003","Not Available","NA",0
,"Bergen County, NJ","34003","Not Reported","NR",0
,"Burlington County, NJ","34005","American Indian or Alaska Native","1002-5",Suppressed
,"Burlington County, NJ","34005","Asian","A",342
,"Burlington County, NJ","34005","Black or African American","2054-5",901
,"Burlington County, NJ","34005","Native Hawaiian or Other Pacific Islander","NHOPI",10
,"Burlington County, NJ","34005","White","2106-3",2971
,"Burlington County, NJ","34005","More than one race","M",147
,"Burlington County, NJ","34005","Unknown or Not Stated","UNK",0
,"Burlington County, NJ","34005","Not Available","NA",0
,"Burlington County, NJ","34005","Not Reported","NR",0
,"Camden County, NJ","34007","American Indian or Alaska Native","1002-5",10
,"Camden County, NJ","34007","Asian","A",388
,"Camden County, NJ","34007","Black or African American","2054-5",1520
,"Camden County, NJ","34007","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Camden County, NJ","34007","White","2106-3",3837
,"Camden County, NJ","34007","More than one race","M",169
,"Camden County, NJ","34007","Unknown or Not Stated","UNK",0
,"Camden County, NJ","34007","Not Available","NA",0
,"Camden County, NJ","34007","Not Reported","NR",0
,"Cumberland County, NJ","34011","American Indian or Alaska Native","1002-5",Suppressed
,"Cumberland County, NJ","34011","Asian","A",26
,"Cumberland County, NJ","34011","Black or African American","2054-5",451
,"Cumberland County, NJ","34011","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Cumberland County, NJ","34011","White","2106-3",1283
,"Cumberland County, NJ","34011","More than one race","M",53
,"Cumberland County, NJ","34011","Unknown or Not Stated","UNK",0
,"Cumberland County, NJ","34011","Not Available","NA",0
,"Cumberland County, NJ","34011","Not Reported","NR",0
,"Essex County, NJ","34013","American Indian or Alaska Native","1002-5",36
,"Essex County, NJ","34013","Asian","A",543
,"Essex County, NJ","34013","Black or African American","2054-5",4383
,"Essex County, NJ","34013","Native Hawaiian or Other Pacific Islander","NHOPI",14
,"Essex County, NJ","34013","White","2106-3",4555
,"Essex County, NJ","34013","More than one race","M",121
,"Essex County, NJ","34013","Unknown or Not Stated","UNK",0
,"Essex County, NJ","34013","Not Available","NA",0
,"Essex County, NJ","34013","Not Reported","NR",0
,"Gloucester County, NJ","34015","American Indian or Alaska Native","1002-5",Suppressed
,"Gloucester County, NJ","34015","Asian","A",94
,"Gloucester County, NJ","34015","Black or African American","2054-5",381
,"Gloucester County, NJ","34015","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Gloucester County, NJ","34015","White","2106-3",2171
,"Gloucester County, NJ","34015","More than one race","M",72
,"Gloucester County, NJ","34015","Unknown or Not Stated","UNK",0
,"Gloucester County, NJ","34015","Not Available","NA",0
,"Gloucester County, NJ","34015","Not Reported","NR",0
,"Hudson County, NJ","34017","American Indian or Alaska Native","1002-5",58
,"Hudson County, NJ","34017","Asian","A",2253
,"Hudson County, NJ","34017","Black or African American","2054-5",1217
,"Hudson County, NJ","34017","Native Hawaiian or Other Pacific Islander","NHOPI",39
,"Hudson County, NJ","34017","White","2106-3",5870
,"Hudson County, NJ","34017","More than one race","M",107
,"Hudson County, NJ","34017","Unknown or Not Stated","UNK",0
,"Hudson County, NJ","34017","Not Available","NA",0
,"Hudson County, NJ","34017","Not Reported","NR",0
,"Hunterdon County, NJ","34019","American Indian or Alaska Native","1002-5",Suppressed
,"Hunterdon County, NJ","34019","Asian","A",58
,"Hunterdon County, NJ","34019","Black or African American","2054-5",27
,"Hunterdon County, NJ","34019","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Hunterdon County, NJ","34019","White","2106-3",898
,"Hunterdon County, NJ","34019","More than one race","M",Suppressed
,"Hunterdon County, NJ","34019","Unknown or Not Stated","UNK",0
,"Hunterdon County, NJ","34019","Not Available","NA",0
,"Hunterdon County, NJ","34019","Not Reported","NR",0
,"Mercer County, NJ","34021","American Indian or Alaska Native","1002-5",13
,"Mercer County, NJ","34021","Asian","A",461
,"Mercer County, NJ","34021","Black or African American","2054-5",1061
,"Mercer County, NJ","34021","Native Hawaiian or Other Pacific Islander","NHOPI",10
,"Mercer County, NJ","34021","White","2106-3",2369
,"Mercer County, NJ","34021","More than one race","M",71
,"Mercer County, NJ","34021","Unknown or Not Stated","UNK",0
,"Mercer County, NJ","34021","Not Available","NA",0
,"Mercer County, NJ","34021","Not Reported","NR",0
,"Middlesex County, NJ","34023","American Indian or Alaska Native","1002-5",20
,"Middlesex County, NJ","34023","Asian","A",2361
,"Middlesex County, NJ","34023","Black or African American","2054-5",1214
,"Middlesex County, NJ","34023","Native Hawaiian or Other Pacific Islander","NHOPI",13
,"Middlesex County, NJ","34023","White","2106-3",4710
,"Middlesex County, NJ","34023","More than one race","M",108
,"Middlesex County, NJ","34023","Unknown or Not Stated","UNK",0
,"Middlesex County, NJ","34023","Not Available","NA",0
,"Middlesex County, NJ","34023","Not Reported","NR",0
,"Monmouth County, NJ","34025","American Indian or Alaska Native","1002-5",Suppressed
,"Monmouth County, NJ","34025","Asian","A",258
,"Monmouth County, NJ","34025","Black or African American","2054-5",445
,"Monmouth County, NJ","34025","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Monmouth County, NJ","34025","White","2106-3",5065
,"Monmouth County, NJ","34025","More than one race","M",75
,"Monmouth County, NJ","34025","Unknown or Not Stated","UNK",0
,"Monmouth County, NJ","34025","Not Available","NA",0
,"Monmouth County, NJ","34025","Not Reported","NR",0
,"Morris County, NJ","34027","American Indian or Alaska Native","1002-5",Suppressed
,"Morris County, NJ","34027","Asian","A",692
,"Morris County, NJ","34027","Black or African American","2054-5",181
,"Morris County, NJ","34027","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Morris County, NJ","34027","White","2106-3",3646
,"Morris County, NJ","34027","More than one race","M",45
,"Morris County, NJ","34027","Unknown or Not Stated","UNK",0
,"Morris County, NJ","34027","Not Available","NA",0
,"Morris County, NJ","34027","Not Reported","NR",0
,"Ocean County, NJ","34029","American Indian or Alaska Native","1002-5",Suppressed
,"Ocean County, NJ","34029","Asian","A",97
,"Ocean County, NJ","34029","Black or African American","2054-5",286
,"Ocean County, NJ","34029","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Ocean County, NJ","34029","White","2106-3",8882
,"Ocean County, NJ","34029","More than one race","M",47
,"Ocean County, NJ","34029","Unknown or Not Stated","UNK",0
,"Ocean County, NJ","34029","Not Available","NA",0
,"Ocean County, NJ","34029","Not Reported","NR",0
,"Passaic County, NJ","34031","American Indian or Alaska Native","1002-5",28
,"Passaic County, NJ","34031","Asian","A",476
,"Passaic County, NJ","34031","Black or African American","2054-5",1106
,"Passaic County, NJ","34031","Native Hawaiian or Other Pacific Islander","NHOPI",16
,"Passaic County, NJ","34031","White","2106-3",4552
,"Passaic County, NJ","34031","More than one race","M",82
,"Passaic County, NJ","34031","Unknown or Not Stated","UNK",0
,"Passaic County, NJ","34031","Not Available","NA",0
,"Passaic County, NJ","34031","Not Reported","NR",0
