"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Adams County, CO","08001","Under 15 years","15",Suppressed
,"Adams County, CO","08001","15-19 years","15-19",335
,"Adams County, CO","08001","20-24 years","20-24",1233
,"Adams County, CO","08001","25-29 years","25-29",1863
,"Adams County, CO","08001","30-34 years","30-34",1746
,"Adams County, CO","08001","35-39 years","35-39",940
,"Adams County, CO","08001","40-44 years","40-44",157
,"Adams County, CO","08001","45-49 years","45-49",17
,"Adams County, CO","08001","50 years and over","50+",0
,"Arapahoe County, CO","08005","Under 15 years","15",0
,"Arapahoe County, CO","08005","15-19 years","15-19",238
,"Arapahoe County, CO","08005","20-24 years","20-24",1131
,"Arapahoe County, CO","08005","25-29 years","25-29",2044
,"Arapahoe County, CO","08005","30-34 years","30-34",2420
,"Arapahoe County, CO","08005","35-39 years","35-39",1289
,"Arapahoe County, CO","08005","40-44 years","40-44",268
,"Arapahoe County, CO","08005","45-49 years","45-49",10
,"Arapahoe County, CO","08005","50 years and over","50+",Suppressed
,"Boulder County, CO","08013","Under 15 years","15",Suppressed
,"Boulder County, CO","08013","15-19 years","15-19",76
,"Boulder County, CO","08013","20-24 years","20-24",271
,"Boulder County, CO","08013","25-29 years","25-29",540
,"Boulder County, CO","08013","30-34 years","30-34",907
,"Boulder County, CO","08013","35-39 years","35-39",615
,"Boulder County, CO","08013","40-44 years","40-44",139
,"Boulder County, CO","08013","45-49 years","45-49",10
,"Boulder County, CO","08013","50 years and over","50+",Suppressed
,"Denver County, CO","08031","Under 15 years","15",Suppressed
,"Denver County, CO","08031","15-19 years","15-19",390
,"Denver County, CO","08031","20-24 years","20-24",1308
,"Denver County, CO","08031","25-29 years","25-29",2187
,"Denver County, CO","08031","30-34 years","30-34",3212
,"Denver County, CO","08031","35-39 years","35-39",1940
,"Denver County, CO","08031","40-44 years","40-44",356
,"Denver County, CO","08031","45-49 years","45-49",23
,"Denver County, CO","08031","50 years and over","50+",Suppressed
,"Douglas County, CO","08035","Under 15 years","15",0
,"Douglas County, CO","08035","15-19 years","15-19",35
,"Douglas County, CO","08035","20-24 years","20-24",254
,"Douglas County, CO","08035","25-29 years","25-29",832
,"Douglas County, CO","08035","30-34 years","30-34",1380
,"Douglas County, CO","08035","35-39 years","35-39",759
,"Douglas County, CO","08035","40-44 years","40-44",122
,"Douglas County, CO","08035","45-49 years","45-49",13
,"Douglas County, CO","08035","50 years and over","50+",0
,"El Paso County, CO","08041","Under 15 years","15",Suppressed
,"El Paso County, CO","08041","15-19 years","15-19",390
,"El Paso County, CO","08041","20-24 years","20-24",1999
,"El Paso County, CO","08041","25-29 years","25-29",2890
,"El Paso County, CO","08041","30-34 years","30-34",2438
,"El Paso County, CO","08041","35-39 years","35-39",1150
,"El Paso County, CO","08041","40-44 years","40-44",228
,"El Paso County, CO","08041","45-49 years","45-49",10
,"El Paso County, CO","08041","50 years and over","50+",0
,"Jefferson County, CO","08059","Under 15 years","15",Suppressed
,"Jefferson County, CO","08059","15-19 years","15-19",133
,"Jefferson County, CO","08059","20-24 years","20-24",613
,"Jefferson County, CO","08059","25-29 years","25-29",1379
,"Jefferson County, CO","08059","30-34 years","30-34",2113
,"Jefferson County, CO","08059","35-39 years","35-39",1188
,"Jefferson County, CO","08059","40-44 years","40-44",209
,"Jefferson County, CO","08059","45-49 years","45-49",15
,"Jefferson County, CO","08059","50 years and over","50+",Suppressed
,"Larimer County, CO","08069","Under 15 years","15",0
,"Larimer County, CO","08069","15-19 years","15-19",86
,"Larimer County, CO","08069","20-24 years","20-24",421
,"Larimer County, CO","08069","25-29 years","25-29",878
,"Larimer County, CO","08069","30-34 years","30-34",1172
,"Larimer County, CO","08069","35-39 years","35-39",557
,"Larimer County, CO","08069","40-44 years","40-44",95
,"Larimer County, CO","08069","45-49 years","45-49",10
,"Larimer County, CO","08069","50 years and over","50+",0
,"Mesa County, CO","08077","Under 15 years","15",0
,"Mesa County, CO","08077","15-19 years","15-19",107
,"Mesa County, CO","08077","20-24 years","20-24",356
,"Mesa County, CO","08077","25-29 years","25-29",549
,"Mesa County, CO","08077","30-34 years","30-34",430
,"Mesa County, CO","08077","35-39 years","35-39",178
,"Mesa County, CO","08077","40-44 years","40-44",33
,"Mesa County, CO","08077","45-49 years","45-49",Suppressed
,"Mesa County, CO","08077","50 years and over","50+",0
,"Pueblo County, CO","08101","Under 15 years","15",Suppressed
,"Pueblo County, CO","08101","15-19 years","15-19",149
,"Pueblo County, CO","08101","20-24 years","20-24",494
,"Pueblo County, CO","08101","25-29 years","25-29",584
,"Pueblo County, CO","08101","30-34 years","30-34",394
,"Pueblo County, CO","08101","35-39 years","35-39",156
,"Pueblo County, CO","08101","40-44 years","40-44",43
,"Pueblo County, CO","08101","45-49 years","45-49",Suppressed
,"Pueblo County, CO","08101","50 years and over","50+",0
,"Weld County, CO","08123","Under 15 years","15",Suppressed
,"Weld County, CO","08123","15-19 years","15-19",200
,"Weld County, CO","08123","20-24 years","20-24",839
,"Weld County, CO","08123","25-29 years","25-29",1410
,"Weld County, CO","08123","30-34 years","30-34",1207
,"Weld County, CO","08123","35-39 years","35-39",480
,"Weld County, CO","08123","40-44 years","40-44",97
,"Weld County, CO","08123","45-49 years","45-49",Suppressed
,"Weld County, CO","08123","50 years and over","50+",0
,"Unidentified Counties, CO","08999","Under 15 years","15",Suppressed
,"Unidentified Counties, CO","08999","15-19 years","15-19",383
,"Unidentified Counties, CO","08999","20-24 years","20-24",1563
,"Unidentified Counties, CO","08999","25-29 years","25-29",2389
,"Unidentified Counties, CO","08999","30-34 years","30-34",2260
,"Unidentified Counties, CO","08999","35-39 years","35-39",1224
,"Unidentified Counties, CO","08999","40-44 years","40-44",268
,"Unidentified Counties, CO","08999","45-49 years","45-49",16
,"Unidentified Counties, CO","08999","50 years and over","50+",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Colorado (08)"
"Year: 2018"
"Group By: County of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 12:23:57 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 12:23:57 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
