"Notes","County of Residence","County of Residence Code","Mother's Single Race 6","Mother's Single Race 6 Code",Births
,"Baldwin County, AL","01003","American Indian or Alaska Native","1002-5",10
,"Baldwin County, AL","01003","Asian","A",26
,"Baldwin County, AL","01003","Black or African American","2054-5",267
,"Baldwin County, AL","01003","Native Hawaiian or Other Pacific Islander","NHOPI",0
,"Baldwin County, AL","01003","White","2106-3",2134
,"Baldwin County, AL","01003","More than one race","M",64
,"Baldwin County, AL","01003","Unknown or Not Stated","UNK",0
,"Baldwin County, AL","01003","Not Available","NA",0
,"Baldwin County, AL","01003","Not Reported","NR",0
,"Calhoun County, AL","01015","American Indian or Alaska Native","1002-5",Suppressed
,"Calhoun County, AL","01015","Asian","A",12
,"Calhoun County, AL","01015","Black or African American","2054-5",324
,"Calhoun County, AL","01015","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Calhoun County, AL","01015","White","2106-3",945
,"Calhoun County, AL","01015","More than one race","M",40
,"Calhoun County, AL","01015","Unknown or Not Stated","UNK",0
,"Calhoun County, AL","01015","Not Available","NA",0
,"Calhoun County, AL","01015","Not Reported","NR",0
,"Etowah County, AL","01055","American Indian or Alaska Native","1002-5",Suppressed
,"Etowah County, AL","01055","Asian","A",10
,"Etowah County, AL","01055","Black or African American","2054-5",192
,"Etowah County, AL","01055","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Etowah County, AL","01055","White","2106-3",909
,"Etowah County, AL","01055","More than one race","M",23
,"Etowah County, AL","01055","Unknown or Not Stated","UNK",0
,"Etowah County, AL","01055","Not Available","NA",0
,"Etowah County, AL","01055","Not Reported","NR",0
,"Houston County, AL","01069","American Indian or Alaska Native","1002-5",Suppressed
,"Houston County, AL","01069","Asian","A",21
,"Houston County, AL","01069","Black or African American","2054-5",463
,"Houston County, AL","01069","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Houston County, AL","01069","White","2106-3",800
,"Houston County, AL","01069","More than one race","M",36
,"Houston County, AL","01069","Unknown or Not Stated","UNK",0
,"Houston County, AL","01069","Not Available","NA",0
,"Houston County, AL","01069","Not Reported","NR",0
,"Jefferson County, AL","01073","American Indian or Alaska Native","1002-5",Suppressed
,"Jefferson County, AL","01073","Asian","A",205
,"Jefferson County, AL","01073","Black or African American","2054-5",3389
,"Jefferson County, AL","01073","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Jefferson County, AL","01073","White","2106-3",4326
,"Jefferson County, AL","01073","More than one race","M",111
,"Jefferson County, AL","01073","Unknown or Not Stated","UNK",0
,"Jefferson County, AL","01073","Not Available","NA",0
,"Jefferson County, AL","01073","Not Reported","NR",0
,"Lee County, AL","01081","American Indian or Alaska Native","1002-5",Suppressed
,"Lee County, AL","01081","Asian","A",55
,"Lee County, AL","01081","Black or African American","2054-5",467
,"Lee County, AL","01081","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Lee County, AL","01081","White","2106-3",1349
,"Lee County, AL","01081","More than one race","M",28
,"Lee County, AL","01081","Unknown or Not Stated","UNK",0
,"Lee County, AL","01081","Not Available","NA",0
,"Lee County, AL","01081","Not Reported","NR",0
,"Madison County, AL","01089","American Indian or Alaska Native","1002-5",Suppressed
,"Madison County, AL","01089","Asian","A",111
,"Madison County, AL","01089","Black or African American","2054-5",1138
,"Madison County, AL","01089","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Madison County, AL","01089","White","2106-3",2940
,"Madison County, AL","01089","More than one race","M",123
,"Madison County, AL","01089","Unknown or Not Stated","UNK",0
,"Madison County, AL","01089","Not Available","NA",0
,"Madison County, AL","01089","Not Reported","NR",0
,"Mobile County, AL","01097","American Indian or Alaska Native","1002-5",60
,"Mobile County, AL","01097","Asian","A",106
,"Mobile County, AL","01097","Black or African American","2054-5",2080
,"Mobile County, AL","01097","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Mobile County, AL","01097","White","2106-3",2760
,"Mobile County, AL","01097","More than one race","M",82
,"Mobile County, AL","01097","Unknown or Not Stated","UNK",0
,"Mobile County, AL","01097","Not Available","NA",0
,"Mobile County, AL","01097","Not Reported","NR",0
,"Montgomery County, AL","01101","American Indian or Alaska Native","1002-5",Suppressed
,"Montgomery County, AL","01101","Asian","A",83
,"Montgomery County, AL","01101","Black or African American","2054-5",1941
,"Montgomery County, AL","01101","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed
,"Montgomery County, AL","01101","White","2106-3",968
