"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Albany County, NY","36001","Hispanic or Latino","2135-2",248
,"Albany County, NY","36001","Not Hispanic or Latino","2186-5",2610
,"Albany County, NY","36001","Unknown or Not Stated","9",Suppressed
,"Bronx County, NY","36005","Hispanic or Latino","2135-2",10061
,"Bronx County, NY","36005","Not Hispanic or Latino","2186-5",7073
,"Bronx County, NY","36005","Unknown or Not Stated","9",71
,"Broome County, NY","36007","Hispanic or Latino","2135-2",146
,"Broome County, NY","36007","Not Hispanic or Latino","2186-5",1704
,"Broome County, NY","36007","Unknown or Not Stated","9",Suppressed
,"Chautauqua County, NY","36013","Hispanic or Latino","2135-2",179
,"Chautauqua County, NY","36013","Not Hispanic or Latino","2186-5",1032
,"Chautauqua County, NY","36013","Unknown or Not Stated","9",41
,"Dutchess County, NY","36027","Hispanic or Latino","2135-2",557
,"Dutchess County, NY","36027","Not Hispanic or Latino","2186-5",2102
,"Dutchess County, NY","36027","Unknown or Not Stated","9",Suppressed
,"Erie County, NY","36029","Hispanic or Latino","2135-2",752
,"Erie County, NY","36029","Not Hispanic or Latino","2186-5",8771
,"Erie County, NY","36029","Unknown or Not Stated","9",11
,"Jefferson County, NY","36045","Hispanic or Latino","2135-2",231
,"Jefferson County, NY","36045","Not Hispanic or Latino","2186-5",1565
,"Jefferson County, NY","36045","Unknown or Not Stated","9",17
,"Kings County, NY","36047","Hispanic or Latino","2135-2",5632
,"Kings County, NY","36047","Not Hispanic or Latino","2186-5",26944
,"Kings County, NY","36047","Unknown or Not Stated","9",963
,"Monroe County, NY","36055","Hispanic or Latino","2135-2",1041
,"Monroe County, NY","36055","Not Hispanic or Latino","2186-5",6673
,"Monroe County, NY","36055","Unknown or Not Stated","9",Suppressed
,"Nassau County, NY","36059","Hispanic or Latino","2135-2",3608
,"Nassau County, NY","36059","Not Hispanic or Latino","2186-5",10521
,"Nassau County, NY","36059","Unknown or Not Stated","9",28
,"New York County, NY","36061","Hispanic or Latino","2135-2",3744
,"New York County, NY","36061","Not Hispanic or Latino","2186-5",9944
,"New York County, NY","36061","Unknown or Not Stated","9",325
,"Niagara County, NY","36063","Hispanic or Latino","2135-2",102
,"Niagara County, NY","36063","Not Hispanic or Latino","2186-5",1883
,"Niagara County, NY","36063","Unknown or Not Stated","9",Suppressed
,"Oneida County, NY","36065","Hispanic or Latino","2135-2",219
,"Oneida County, NY","36065","Not Hispanic or Latino","2186-5",2209
,"Oneida County, NY","36065","Unknown or Not Stated","9",Suppressed
,"Onondaga County, NY","36067","Hispanic or Latino","2135-2",350
,"Onondaga County, NY","36067","Not Hispanic or Latino","2186-5",4535
,"Onondaga County, NY","36067","Unknown or Not Stated","9",Suppressed
,"Ontario County, NY","36069","Hispanic or Latino","2135-2",102
,"Ontario County, NY","36069","Not Hispanic or Latino","2186-5",876
,"Ontario County, NY","36069","Unknown or Not Stated","9",Suppressed
,"Orange County, NY","36071","Hispanic or Latino","2135-2",1362
,"Orange County, NY","36071","Not Hispanic or Latino","2186-5",4143
,"Orange County, NY","36071","Unknown or Not Stated","9",47
,"Oswego County, NY","36075","Hispanic or Latino","2135-2",42
,"Oswego County, NY","36075","Not Hispanic or Latino","2186-5",1084
,"Oswego County, NY","36075","Unknown or Not Stated","9",14
,"Queens County, NY","36081","Hispanic or Latino","2135-2",7687
,"Queens County, NY","36081","Not Hispanic or Latino","2186-5",15932
,"Queens County, NY","36081","Unknown or Not Stated","9",153
,"Rensselaer County, NY","36083","Hispanic or Latino","2135-2",111
,"Rensselaer County, NY","36083","Not Hispanic or Latino","2186-5",1369
,"Rensselaer County, NY","36083","Unknown or Not Stated","9",Suppressed
,"Richmond County, NY","36085","Hispanic or Latino","2135-2",1181
,"Richmond County, NY","36085","Not Hispanic or Latino","2186-5",3879
,"Richmond County, NY","36085","Unknown or Not Stated","9",32
,"Rockland County, NY","36087","Hispanic or Latino","2135-2",1262
,"Rockland County, NY","36087","Not Hispanic or Latino","2186-5",4829
,"Rockland County, NY","36087","Unknown or Not Stated","9",87
,"St. Lawrence County, NY","36089","Hispanic or Latino","2135-2",17
,"St. Lawrence County, NY","36089","Not Hispanic or Latino","2186-5",923
,"St. Lawrence County, NY","36089","Unknown or Not Stated","9",66
,"Saratoga County, NY","36091","Hispanic or Latino","2135-2",108
,"Saratoga County, NY","36091","Not Hispanic or Latino","2186-5",1994
,"Saratoga County, NY","36091","Unknown or Not Stated","9",Suppressed
,"Schenectady County, NY","36093","Hispanic or Latino","2135-2",154
,"Schenectady County, NY","36093","Not Hispanic or Latino","2186-5",1684
,"Schenectady County, NY","36093","Unknown or Not Stated","9",0
,"Suffolk County, NY","36103","Hispanic or Latino","2135-2",5209
,"Suffolk County, NY","36103","Not Hispanic or Latino","2186-5",10690
,"Suffolk County, NY","36103","Unknown or Not Stated","9",13
,"Tompkins County, NY","36109","Hispanic or Latino","2135-2",48
,"Tompkins County, NY","36109","Not Hispanic or Latino","2186-5",647
,"Tompkins County, NY","36109","Unknown or Not Stated","9",Suppressed
,"Ulster County, NY","36111","Hispanic or Latino","2135-2",240
,"Ulster County, NY","36111","Not Hispanic or Latino","2186-5",1324
,"Ulster County, NY","36111","Unknown or Not Stated","9",Suppressed
,"Westchester County, NY","36119","Hispanic or Latino","2135-2",3442
,"Westchester County, NY","36119","Not Hispanic or Latino","2186-5",6564
,"Westchester County, NY","36119","Unknown or Not Stated","9",30
,"Unidentified Counties, NY","36999","Hispanic or Latino","2135-2",1149
,"Unidentified Counties, NY","36999","Not Hispanic or Latino","2186-5",16089
,"Unidentified Counties, NY","36999","Unknown or Not Stated","9",234
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: New York (36)"
"Year: 2021"
"Group By: County of Residence; Mother's Hispanic Origin"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2026 3:29:45 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2026 3:29:45 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
"4. Bronx, New York (FIPS code 36005) represents Bronx Borough, New York City."
"5. Kings County, New York (FIPS code 36047) represents Brooklyn Borough, New York City."
"6. New York County, New York (FIPS code 36061) represents Manhattan Borough, New York City."
"7. Queens, New York (FIPS code 36081) represents Queens Borough, New York City."
"8. Richmond County, New York (FIPS code 36085) represents Staten Island Borough, New York City."
