"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Albany County, NY","36001","Hispanic or Latino","2135-2",291
,"Albany County, NY","36001","Not Hispanic or Latino","2186-5",2597
,"Albany County, NY","36001","Unknown or Not Stated","9",Suppressed
,"Bronx County, NY","36005","Hispanic or Latino","2135-2",10949
,"Bronx County, NY","36005","Not Hispanic or Latino","2186-5",8280
,"Bronx County, NY","36005","Unknown or Not Stated","9",98
,"Broome County, NY","36007","Hispanic or Latino","2135-2",112
,"Broome County, NY","36007","Not Hispanic or Latino","2186-5",1849
,"Broome County, NY","36007","Unknown or Not Stated","9",Suppressed
,"Chautauqua County, NY","36013","Hispanic or Latino","2135-2",178
,"Chautauqua County, NY","36013","Not Hispanic or Latino","2186-5",1120
,"Chautauqua County, NY","36013","Unknown or Not Stated","9",37
,"Dutchess County, NY","36027","Hispanic or Latino","2135-2",526
,"Dutchess County, NY","36027","Not Hispanic or Latino","2186-5",2173
,"Dutchess County, NY","36027","Unknown or Not Stated","9",Suppressed
,"Erie County, NY","36029","Hispanic or Latino","2135-2",800
,"Erie County, NY","36029","Not Hispanic or Latino","2186-5",8890
,"Erie County, NY","36029","Unknown or Not Stated","9",Suppressed
,"Jefferson County, NY","36045","Hispanic or Latino","2135-2",215
,"Jefferson County, NY","36045","Not Hispanic or Latino","2186-5",1582
,"Jefferson County, NY","36045","Unknown or Not Stated","9",10
,"Kings County, NY","36047","Hispanic or Latino","2135-2",6018
,"Kings County, NY","36047","Not Hispanic or Latino","2186-5",30258
,"Kings County, NY","36047","Unknown or Not Stated","9",877
,"Monroe County, NY","36055","Hispanic or Latino","2135-2",1017
,"Monroe County, NY","36055","Not Hispanic or Latino","2186-5",6892
,"Monroe County, NY","36055","Unknown or Not Stated","9",Suppressed
,"Nassau County, NY","36059","Hispanic or Latino","2135-2",3634
,"Nassau County, NY","36059","Not Hispanic or Latino","2186-5",10146
,"Nassau County, NY","36059","Unknown or Not Stated","9",30
,"New York County, NY","36061","Hispanic or Latino","2135-2",3913
,"New York County, NY","36061","Not Hispanic or Latino","2186-5",12362
,"New York County, NY","36061","Unknown or Not Stated","9",302
,"Niagara County, NY","36063","Hispanic or Latino","2135-2",106
,"Niagara County, NY","36063","Not Hispanic or Latino","2186-5",1956
,"Niagara County, NY","36063","Unknown or Not Stated","9",Suppressed
,"Oneida County, NY","36065","Hispanic or Latino","2135-2",229
,"Oneida County, NY","36065","Not Hispanic or Latino","2186-5",2260
,"Oneida County, NY","36065","Unknown or Not Stated","9",0
,"Onondaga County, NY","36067","Hispanic or Latino","2135-2",403
,"Onondaga County, NY","36067","Not Hispanic or Latino","2186-5",4646
,"Onondaga County, NY","36067","Unknown or Not Stated","9",Suppressed
,"Ontario County, NY","36069","Hispanic or Latino","2135-2",101
,"Ontario County, NY","36069","Not Hispanic or Latino","2186-5",859
,"Ontario County, NY","36069","Unknown or Not Stated","9",Suppressed
,"Orange County, NY","36071","Hispanic or Latino","2135-2",1205
,"Orange County, NY","36071","Not Hispanic or Latino","2186-5",3961
,"Orange County, NY","36071","Unknown or Not Stated","9",33
,"Oswego County, NY","36075","Hispanic or Latino","2135-2",30
,"Oswego County, NY","36075","Not Hispanic or Latino","2186-5",1190
,"Oswego County, NY","36075","Unknown or Not Stated","9",13
,"Queens County, NY","36081","Hispanic or Latino","2135-2",7955
,"Queens County, NY","36081","Not Hispanic or Latino","2186-5",18970
,"Queens County, NY","36081","Unknown or Not Stated","9",138
,"Rensselaer County, NY","36083","Hispanic or Latino","2135-2",124
,"Rensselaer County, NY","36083","Not Hispanic or Latino","2186-5",1483
,"Rensselaer County, NY","36083","Unknown or Not Stated","9",Suppressed
,"Richmond County, NY","36085","Hispanic or Latino","2135-2",1214
,"Richmond County, NY","36085","Not Hispanic or Latino","2186-5",4039
,"Richmond County, NY","36085","Unknown or Not Stated","9",30
,"Rockland County, NY","36087","Hispanic or Latino","2135-2",1041
,"Rockland County, NY","36087","Not Hispanic or Latino","2186-5",4640
,"Rockland County, NY","36087","Unknown or Not Stated","9",33
,"St. Lawrence County, NY","36089","Hispanic or Latino","2135-2",14
